text,emotion
기회를 버리고 숨어 버릴래,0
몰래 까마득한 절벽 그 아래로 Can't nobody do it like me too late 구급차 앞에 아이의 옷 피가 머리에 곧 숨을 못 쉬고 떠올려 애증 Oh oh oh oh oh나 없어도 지구는 돌아 가해가 지면 다시 그들이 오지 두 발이 다 떨어져 옥상에 처박혀 결국 땅에 가짜 피가 흐른 것에 속아 앞이 아른거려 시체 바꿔 200개월 짜리,0
꼬마 발견 내 비 두래 겁 없이 백야인 거지 이거 봐 밝아진 밤에 도망가 전화하지 마 오지 마 이곳도 마지막 레이더 안에 안 있겠어 되고 파 고주 망태 폭풍 전야를 알지 마 어제의 해가 더 아프지만 깨 었던 알의 안은 아늑 껍질 까고 머리맡에 팔아 팔아 팔아 이름을 뺏어 보험 타서 대륙을 떠 못 할 거야 안 그립다 고도 부럽다는 건 그림의 떡 살아서 미안 해요 죽은 숨이야 매일 상 상해 미아 된 걸 무슨 의미야 면죄부를 받기 위함이야 사라지는 것도 살아 있는 것도 변태 같니,0
왜 언제가 바뀔 운명이야 척하는 것도 날 파는 것도 삶이야 왜 기회를 버리고 숨어 버릴래,0
몰래 까마득한 절벽 그 아래로 Can't nobody do it like me too late 구급차 앞에 아이의 옷 피가 머리에 곧 숨을 못 쉬고 떠올려 애증 Oh oh oh oh oh나 없어도 지구는 돌아 가해가 지면 다시 그들이 오지 One Two 시간이 됐어 총구를 댔어,0
희망이 없어 One Two 길거리의 사람들에 둘러싸여 마지막이에요,0
One Two 이름이 없어도 황홀함이 있어 지워 지는 건건 배해 내일이 없어도 출발이 있어 그림자를 안아 신분 세탁할래요,0
힘을 줘 방아쇠 위에 괴물 내가 할래요,0
느낌을 직감 하세요인 비 저 블 맨 바 래요 못 잡을 맨발의 여신 무자비하게 밤에 하지 결핍은 담배 연기처럼 사라져 나의 삶이 태어난 건어 질러진 방 이지만 알껍질을 뒤집어쓴 여긴 거짓말이니까 타인의 허물 뒤로 회색 도시 뒤로 밤의 어둠 뒤로 왜 자꾸 등이 시려 그림자 덫 안에 갇혀 끊어 봐 덫 안에 밧줄 밧줄 끊음 동아 줄잡고 올라가 봐 쭉 기회를 버리고 숨어 버릴래,0
몰래 까마득한 절벽 그 아래로 Can't nobody do it like me too late 구급차 앞에 아이의 옷 피가 머리에 곧 숨을 못 쉬고 떠올려 애증 Oh oh oh oh oh나 없어도 지구는 돌아 가해가 지면 다시 그들이 오지,0
네가 나에 대해 뭘 알아 난 취하면 마스크를 찾아 아무 상관 없는 얘기 같아도 내 습 관인 걸 넌 이해 못 하잖아,0
어쨌든 지금 우린 그게 중요하지 않아 어제는 네 가 없었는데 괜찮았었잖아,0
그냥 꺼져 줘 내 옆에서 하던 대로 욕도 하고 꼭 성격 그대로 둬 주변 친구까지 도 왜 네 가 하필 bad bitch 너는 내 기분을 make shit 미안한 데 너와 헤어진 날에도 I have a good night 너는 전혀 몰랐겠지 아니 알고 싶지 않았겠지만 너 생각보다 내가 잘 나서 이상한 놈은 have a good night 네 가 말해 봐 이게 대체 무슨 상황인 건지 아니면 너는 떳떳하고 난 이것도 이해해야만 하는 건지 여태 수없이 보내온 시간 이제 무슨 소용인 건지 아니 그냥 돌려줄 자신 없으면 미안한 티라도 내시던지 넌 항상 아무 일 없을 거라고 날 믿으면 보내,0
